name,mana,card_text,attack,health,durability,class,card_type,rarity,card_mark,minion_type,spell_school
exploding-bloatbat,4,Deathrattle :  Deal 2 damage to all enemy minions ,2.0,1.0,,['Hunter'],Minion,Rare,2.6,['Beast'],
explore-ungoro,2,Replace your deck with copies of Discover a card ,,,,['Warrior'],Spell,Epic,2.7,,
explorers-hat,2,Give a minion +1/+1 and Deathrattle :  Add an Explorer's Hat to your hand ,,,,['Hunter'],Spell,Rare,2.7,,
explosive-evolution,2,Transform a minion into a random one that costs (3) more ,,,,['Shaman'],Spell,Common,4.4,,Nature
explosive-runes,3,Secret :  After your opponent plays a minion  deal 6 damage to it and any excess to their hero ,,,,['Mage'],Spell,Rare,4.5,,Fire
explosive-sheep,2,Deathrattle :  Deal 2 damage to all minions ,1.0,1.0,,['Neutral'],Minion,Common,3.6,['Mech'],
explosive-shot,5,Deal 5 damage to a minion and 2 damage to adjacent ones ,,,,['Hunter'],Spell,Rare,3.1,,Fire
explosive-trap,2,Secret :  When your hero is attacked  deal 2 damage to all enemies ,,,,['Hunter'],Spell,Common,4.6,,Fire
extra-arms,3,Give a minion +2/+2  Add 'More Arms!' to your hand that gives +2/+2 ,,,,['Priest'],Spell,Rare,2.8,,
eydis-darkbane,3,Whenever you target this minion with a spell  deal 3 damage to a random enemy ,3.0,4.0,,['Neutral'],Minion,Legendary,3.0,,
eye-beam,3,Lifesteal  Deal 3 damage to a minion Outcast :  This costs (1) ,,,,"['Hunter', 'Demon Hunter']",Spell,Epic,4.6,,Fel
eye-for-an-eye,1,Secret :  When your hero takes damage  deal that much damage to the enemy hero ,,,,['Paladin'],Spell,Common,2.6,,Holy
eye-of-shadow,2,Your hero has Lifesteal ,2.0,3.0,,"['Hunter', 'Demon Hunter']",Minion,Epic,4.2,['Demon'],
eye-of-the-storm,10,Summon three 5/6 Elementals with Taunt Overload :  (3),,,,['Shaman'],Spell,Common,2.6,,Nature
face-collector,3,EchoBattlecry :  Add a random Legendary minion to your hand ,2.0,2.0,,['Rogue'],Minion,Legendary,3.4,,
faceless-behemoth,10,You must be logged in to post a comment ,10.0,10.0,,['Neutral'],Minion,Common,1.8,,
faceless-corruptor,5,Rush  Battlecry :  Transform one of your minions into a copy of this ,5.0,4.0,,['Neutral'],Minion,Rare,4.7,,
faceless-lurker,5,TauntBattlecry :  Double this minion's health ,3.0,3.0,,['Neutral'],Minion,Common,2.8,,
faceless-manipulator,5,Battlecry :  Choose a minion and become a copy of it ,3.0,3.0,,['Neutral'],Minion,Epic,4.3,,
faceless-rager,3,Battlecry :  Copy a friendly minion's Health ,5.0,1.0,,['Neutral'],Minion,Common,3.8,,
faceless-shambler,4,TauntBattlecry :  Copy a friendly minion's Attack and Health ,1.0,1.0,,['Neutral'],Minion,Epic,3.3,,
faceless-summoner,6,Battlecry :  Summon a random 3-Cost minion ,5.0,5.0,,['Mage'],Minion,Common,4.7,,
faerie-dragon,2,Can't be targeted by Spells or Hero Powers ,3.0,2.0,,['Neutral'],Minion,Common,3.8,['Dragon'],
faire-arborist,3,Choose One - Draw a card; or Summon a 2/2 Treant Corrupt :  Do both ,2.0,2.0,,['Druid'],Minion,Common,3.4,,
fairground-fool,3,TauntCorrupt :  Gain +4 Health ,4.0,3.0,,['Priest'],Minion,Common,3.9,,
faithful-companions,7,Discover a Beast from your deck and summon it Manathirst (10) :  Also summon a copy of it ,,,,['Hunter'],Spell,Rare,4.1,,
faithful-lumi,1,Battlecry :  Give a friendly Mech +1/+1 ,1.0,1.0,,['Neutral'],Minion,Common,2.9,['Mech'],
faldorei-strider,4,Battlecry :  Shuffle 3 Ambushes into your deck  When drawn  summon a 4/4 Spider ,4.0,4.0,,['Rogue'],Minion,Epic,4.7,,
fallen-hero,2,Your Hero Power deals 1 extra damage ,3.0,2.0,,['Mage'],Minion,Rare,3.5,,
fallen-sun-cleric,2,Battlecry :  Give a friendly minion +1/+1 ,2.0,1.0,,['Neutral'],Minion,Common,2.7,,
famished-fool,5,Battlecry :  Draw a card Infuse (4) :  Draw 3 instead ,3.0,5.0,,['Neutral'],Minion,Rare,3.4,,
fan-club,1,Restore 3 Health to all friendly characters ,,,,['Priest'],Location,Common,3.5,,
fan-of-knives,2,Deal 1 damage to all enemy minions  Draw a card ,,,,['Rogue'],Spell,Common,4.4,,
fandral-staghelm,4,Your Choose One cards and powers have both effects combined ,3.0,5.0,,['Druid'],Minion,Legendary,4.7,,
fangbound-druid,3,TauntDeathrattle :  Reduce the Cost of a Beast in your hand by (2) ,4.0,3.0,,['Druid'],Minion,Common,3.5,,
fantastic-firebird,4,Windfury,3.0,5.0,,['Neutral'],Minion,Common,1.7,['Elemental'],
far-sight,3,Draw a card  That card costs (3) less ,,,,['Shaman'],Spell,Epic,3.6,,
far-watch-post,2,Can't attack  After your opponent draws a card  it costs (1) more (up to 10) ,2.0,3.0,,['Neutral'],Minion,Common,3.8,,
farraki-battleaxe,5,Overkill :  Give a minion in your hand +2/+2 ,3.0,,3.0,['Paladin'],Weapon,Rare,2.2,,
fate-weaver,4,Battlecry :  If you've Invoked twice  reduce the Cost of cards in your hand by (1) ,3.0,6.0,,['Priest'],Minion,Epic,4.2,['Dragon'],
fatespinner,5,Choose a Deathrattle (Secretly) - Deal 3 damage to all minions; or Give them +2/+2 ,5.0,3.0,,['Druid'],Minion,Epic,4.0,,
fearsome-doomguard,7,You must be logged in to post a comment ,6.0,8.0,,['Warlock'],Minion,Common,3.0,['Demon'],
feast-and-famine,1,Give your hero +3 Attack this turn  Manathirst (4) :  And Lifesteal ,,,,['Paladin'],Spell,Common,3.7,,
feast-of-souls,1,Draw a card for each friendly minion that died this turn ,,,,"['Hunter', 'Demon Hunter']",Spell,Rare,4.4,,Shadow
feat-of-strength,3,Give a random Taunt minion in your hand +5/+5 ,,,,['Warrior'],Spell,Rare,2.7,,
feeding-time,5,Deal 3 damage to a minion  Summon three 1/1 Pterrordaxes ,,,,['Warlock'],Spell,Rare,2.0,,
feign-death,2,Trigger all Deathrattles on your minions ,,,,['Hunter'],Spell,Epic,3.3,,
fel-barrage,2,Deal 2 damage to the lowest Health enemy  twice ,,,,"['Hunter', 'Demon Hunter']",Spell,Common,3.7,,Fel
fel-cannon,4,At the end of your turn  deal 2 damage to a non-Mech minion ,3.0,5.0,,['Warlock'],Minion,Rare,2.9,['Mech'],
fel-guardians,7,Summon three 1/2 Demons with Taunt  Costs (1) less whenever a friendly minion dies ,,,,"['Hunter', 'Demon Hunter']",Spell,Common,2.1,,Fel
fel-lord-betrug,8,Whenever you draw a minion  summon a copy with Rush that dies at end of turn ,5.0,7.0,,['Warlock'],Minion,Legendary,3.0,['Demon'],
fel-orc-soulfiend,3,At the start of your turn  deal 2 damage to this minion ,3.0,7.0,,['Neutral'],Minion,Epic,3.3,,
fel-reaver,5,Whenever your opponent plays a card  discard the top 3 cards of your deck ,8.0,8.0,,['Neutral'],Minion,Epic,2.6,['Mech'],
fel-summoner,6,Deathrattle :  Summon a random Demon from your hand ,8.0,3.0,,"['Hunter', 'Demon Hunter']",Minion,Common,2.9,,
feldorei-warband,4,Deal 4 damage  If your deck has no minions  summon four 1/1 Illidari with Rush ,,,,"['Hunter', 'Demon Hunter']",Spell,Common,3.6,,
felerin-the-forgotten,4,Battlecry :  Add a random Outcast card to the left and right sides of your hand  They cost (2) less ,3.0,3.0,,"['Hunter', 'Demon Hunter']",Minion,Legendary,4.5,,
felfin-navigator,4,Battlecry :  Give your other Murlocs +1/+1 ,4.0,4.0,,['Neutral'],Minion,Common,3.8,['Murloc'],
felfire-deadeye,2,Your Hero Power costs (1) less ,2.0,3.0,,"['Hunter', 'Demon Hunter']",Minion,Common,4.2,,
felfire-in-the-hole,5,Draw a spell and deal 2 damage to all enemies  If it's a Fel spell  deal 1 more ,,,,['Warlock'],Spell,Epic,2.9,,Fel
felfire-potion,6,Deal 5 damage to all characters ,,,,['Warlock'],Spell,Rare,4.5,,Fel
felgorger,4,Battlecry :  Draw a Fel spell  Reduce its Cost by (2) ,4.0,3.0,,"['Hunter', 'Demon Hunter']",Minion,Epic,3.9,['Demon'],
felguard,3,Taunt  Battlecry :  Destroy one of your Mana Crystals ,3.0,5.0,,['Warlock'],Minion,Rare,1.9,['Demon'],
felosophy,1,Copy the lowest Cost Demon in your hand Outcast :  Give both +1/+1 ,,,,"['Hunter', 'Warlock', 'Demon Hunter']",Spell,Epic,3.7,,Fel
felrattler,3,RushDeathrattle :  Deal 1 damage to all enemy minions ,3.0,2.0,,"['Hunter', 'Demon Hunter']",Minion,Common,3.9,['Beast'],
felsaber,4,Can only attack if your hero attacked this turn ,5.0,6.0,,"['Hunter', 'Demon Hunter']",Minion,Common,2.8,['Demon'],
felscale-evoker,6,Battlecry :  If you've cast three spells while holding this  summon a different Demon from your deck ,5.0,7.0,,"['Hunter', 'Demon Hunter']",Minion,Rare,3.0,"['Naga', 'Demon']",
felscream-blast,1,Lifesteal  Deal 1 damage to a minion and its neighbors ,,,,"['Hunter', 'Demon Hunter']",Spell,Common,2.9,,Fel
felsoul-inquisitor,4,LifestealTaunt,1.0,6.0,,['Neutral'],Minion,Common,1.6,['Demon'],
felsoul-jailer,5,Battlecry :  Your opponent discards a minion Deathrattle :  Return it ,4.0,6.0,,['Warlock'],Minion,Epic,2.9,,
felstalker,2,Battlecry :  Discard a random card ,4.0,3.0,,['Warlock'],Minion,,2.7,['Demon'],
felsteel-executioner,3,Corrupt :  Become a weapon ,4.0,3.0,,"['Hunter', 'Demon Hunter']",Minion,Epic,4.3,['Elemental'],
felstring-harp,2,Whenever your hero would take damage on your turn  restore 2 Health instead  Lose 1 Durability ,0.0,,3.0,['Warlock'],Weapon,Epic,4.1,,
felwalker,6,Taunt  Battlecry :  Cast the highest Cost Fel spell from your hand ,3.0,7.0,,['Warlock'],Minion,Common,3.4,['Demon'],
fen-creeper,5,Taunt,3.0,6.0,,['Neutral'],Minion,Common,2.6,,
fencing-coach,3,Battlecry :  The next time you use your Hero Power  it costs (2) less ,2.0,2.0,,['Neutral'],Minion,Rare,2.6,,
feral-gibberer,1,After this minion attacks a hero  add a copy of it to your hand ,1.0,1.0,,['Neutral'],Minion,Rare,2.1,,
feral-rage,3,Choose One - Give your hero +4 Attack this turn; or Gain 8 Armor ,,,,['Druid'],Spell,Common,4.0,,
feral-spirit,3,Summon two 2/3 Spirit Wolves with Taunt Overload :  (1),,,,['Shaman'],Spell,Rare,4.5,,Nature
ferocious-howl,3,Draw a card Gain 1 Armor for each card in your hand ,,,,['Druid'],Spell,Common,3.8,,
festeroot-hulk,5,After a friendly minion attacks  gain +1 Attack ,2.0,7.0,,['Warrior'],Minion,Rare,3.1,,
festival-security,3,TauntFinale :  Force all enemy minions to attack this ,2.0,5.0,,['Neutral'],Minion,Rare,3.0,,
feugen,5,Deathrattle :  If Stalagg also died this game  summon Thaddius ,4.0,7.0,,['Neutral'],Minion,Legendary,3.2,,
field-contact,3,After you play a Battlecry or Combo card  draw a card ,3.0,2.0,,['Rogue'],Minion,Rare,4.1,,
field-of-strife,2,Your minions have +1 Attack Lasts 3 turns,,,,"['Hunter', 'Demon Hunter']",Spell,Rare,2.7,,
fiendish-circle,3,Summon four 1/1 Imps ,,,,['Warlock'],Spell,Common,1.7,,Fel
fiendish-rites,3,Invoke Galakrond Give your minions +1 Attack ,,,,['Warlock'],Spell,Common,2.7,,
fiendish-servant,1,Deathrattle :  Give this minion's Attack to a random friendly minion ,2.0,1.0,,['Warlock'],Minion,Common,3.1,['Demon'],
fierce-monkey,3,Taunt,3.0,4.0,,['Warrior'],Minion,Common,4.1,['Beast'],
fierce-outsider,1,RushOutcast :  Your next Outcast card costs (1) less ,2.0,1.0,,"['Hunter', 'Demon Hunter']",Minion,Common,4.1,,
fiery-bat,1,Deathrattle :  Deal 1 damage to a random enemy ,2.0,1.0,,['Hunter'],Minion,Common,4.0,['Beast'],
fiery-war-axe,2,You must be logged in to post a comment ,3.0,,2.0,['Warrior'],Weapon,Common,4.3,,
fight-over-me,4,Choose two enemy minions  They fight! Add copies of any that die to your hand ,,,,['Priest'],Spell,Epic,4.4,,Shadow
fight-promoter,6,Battlecry :  If you control a minion with 6 or more Health  draw two cards ,4.0,4.0,,['Neutral'],Minion,Epic,3.2,,
filletfighter,1,Battlecry :  Deal 1 damage ,3.0,1.0,,['Rogue'],Minion,Common,4.3,['Pirate'],
final-gasp,1,Deal 1 damage to a minion  If it dies  summon a 2/2 Adventurer with a random bonus effect ,,,,['Warlock'],Spell,Common,3.4,,Shadow
final-showdown,1,Questline :  Draw 4 cards in one turn Reward :  Reduce the Cost of the cards drawn by (1) ,,,,"['Hunter', 'Demon Hunter']",Spell,Legendary,2.0,,
find-the-imposter,1,Questline :  Play 2 SI : 7 Cards Reward :  Add a Spy Gizmo to your hand ,,,,['Rogue'],Spell,Legendary,3.3,,
finders-keepers,1,Discover a card with Overload  Overload :  (1),,,,['Shaman'],Spell,Epic,3.0,,
finja-the-flying-star,5,StealthWhenever this attacks and kills a minion  summon 2 Murlocs from your deck ,2.0,4.0,,['Neutral'],Minion,Legendary,3.2,['Murloc'],
fire-breather,4,Battlecry :  Deal 2 damage to all minions except Demons ,4.0,3.0,,['Warlock'],Minion,Rare,4.0,['Demon'],
fire-elemental,6,Battlecry :  Deal 4 damage ,6.0,5.0,,['Shaman'],Minion,Common,4.5,['Elemental'],
fire-fly,1,Battlecry :  Add a 1/2 Elemental to your hand ,1.0,2.0,,['Neutral'],Minion,Common,3.5,['Elemental'],
fire-hawk,3,Battlecry :  Gain +1 Attack for each card in your opponent's hand ,1.0,3.0,,['Neutral'],Minion,Common,3.0,['Elemental'],
fire-plume-harbinger,2,Battlecry :  Reduce the Cost of Elementals in your hand by (1) ,1.0,1.0,,['Shaman'],Minion,Rare,4.3,['Elemental'],
fire-plume-phoenix,4,Battlecry :  Deal 2 damage ,3.0,3.0,,['Neutral'],Minion,Common,3.2,['Elemental'],
fire-plumes-heart,1,Quest :  Play 7 Taunt minions Reward :  Sulfuras ,,,,['Warrior'],Spell,Legendary,4.5,,
fire-sale,4,TradeableDeal 3 damage to all minions ,,,,['Mage'],Spell,Common,4.6,,Fire
fireball,4,Deal 6 damage ,,,,['Mage'],Spell,Common,4.7,,Fire
firebrand,3,Spellburst :  Deal 4 damage randomly split among all enemy minions ,3.0,4.0,,['Mage'],Minion,Common,3.9,,
fireguard-destroyer,4,Battlecry :  Gain 1-4 Attack  Overload :  (1),3.0,6.0,,['Shaman'],Minion,Common,4.2,['Elemental'],
firelands-portal,7,Deal 5 damage  Summon a random 5-Cost minion ,,,,['Mage'],Spell,Common,4.1,,Fire
firemancer-flurgl,2,After you play a Murloc  deal 1 damage to all enemies ,2.0,3.0,,['Shaman'],Minion,Legendary,4.6,['Murloc'],
firetree-witchdoctor,2,Battlecry :  If you're holding a Dragon  Discover a Spell ,2.0,2.0,,['Neutral'],Minion,Rare,4.4,,
firework-elemental,5,Battlecry :  Deal 3 damage to a minion  Corrupt :  Deal 12 instead ,3.0,5.0,,['Mage'],Minion,Common,3.2,['Elemental'],
fireworks-tech,2,Battlecry :  Give a friendly Mech +1/+1  If it has Deathrattle  trigger it ,2.0,1.0,,['Hunter'],Minion,Rare,4.5,,
first-blade-of-wrynn,4,Divine ShieldBattlecry :  Gain Rush if this has at least 4 Attack ,3.0,5.0,,['Paladin'],Minion,Epic,3.1,,
first-day-of-school,1,Add 2 random 1-Cost minions to your hand ,,,,['Paladin'],Spell,Common,3.6,,
first-flame,1,Deal 2 damage to a minion  Add a Second Flame to your hand ,,,,['Mage'],Spell,Rare,4.1,,Fire
fishflinger,2,Battlecry :  Add a random Murloc to each player's hand ,3.0,2.0,,['Neutral'],Minion,Common,3.2,['Murloc'],
fishy-flyer,4,Rush  Deathrattle :  Add a 4/3 Ghost with Rush to your hand ,4.0,3.0,,['Neutral'],Minion,Common,3.0,['Murloc'],
fist-of-jaraxxus,4,When you play or discard this  deal 4 damage to a random enemy ,,,,['Warlock'],Spell,Rare,2.8,,Fel
fizzy-elemental,9,RushTaunt,10.0,10.0,,['Druid'],Minion,Rare,2.8,['Elemental'],
fjola-lightbane,3,Whenever you target this minion with a spell  gain Divine Shield ,3.0,4.0,,['Neutral'],Minion,Legendary,2.7,,
flag-runner,3,Whenever a friendly minion dies  gain +1 Attack ,1.0,6.0,,"['Hunter', 'Demon Hunter']",Minion,Common,2.0,,
flame-geyser,1,Deal 2 damage  Add a 1/2 Elemental to your hand ,,,,['Mage'],Spell,Common,2.9,,Fire
flame-imp,1,Battlecry :  Deal 3 damage to your hero ,3.0,2.0,,['Warlock'],Minion,Common,4.5,['Demon'],
flame-juggler,2,Battlecry :  Deal 1 damage to a random enemy ,2.0,3.0,,['Neutral'],Minion,Common,3.9,,
flame-lance,5,Deal 8 damage to a minion ,,,,['Mage'],Spell,Common,2.6,,Fire
flame-leviathan,7,When you draw this  deal 2 damage to all characters ,7.0,7.0,,['Mage'],Minion,Legendary,1.8,['Mech'],
flame-ward,3,Secret :  After a minion attacks your hero  deal 3 damage to all enemy minions ,,,,['Mage'],Spell,Common,4.5,,Fire
flamecannon,2,Deal 4 damage to a random enemy minion ,,,,['Mage'],Spell,Common,4.4,,Fire
flamereaper,7,Also damages the minions next to whomever your hero attacks ,5.0,,3.0,"['Hunter', 'Demon Hunter']",Weapon,Epic,3.8,,
flamestrike,7,Deal 5 damage to all enemy minions ,,,,['Mage'],Spell,Epic,4.6,,Fire
flametongue-totem,2,Adjacent minions have +2 Attack ,0.0,2.0,,['Shaman'],Minion,,4.5,['Totem'],
flamewaker,3,After you cast a spell  deal 2 damage randomly split among all enemies ,2.0,4.0,,['Mage'],Minion,Rare,4.7,,
flamewreathed-faceless,4,Overload :  (2),7.0,7.0,,['Shaman'],Minion,Common,4.7,,
flanking-maneuver,4,Summon a 4/2 Demon with Rush  If it dies this turn  summon another ,,,,"['Hunter', 'Demon Hunter']",Spell,Rare,4.4,,
flanking-strike,4,Deal 3 damage to a minion  Summon a 3/3 Wolf ,,,,['Hunter'],Spell,Common,4.2,,
flare,1,All minions lose Stealth  Destroy all enemy Secrets  Draw a card ,,,,['Hunter'],Spell,Rare,3.7,,
flarks-boom-zooka,7,Summon 3 minions from your deck  they attack enemy minions  then die ,,,,['Hunter'],Spell,Legendary,2.5,,
flash-heal,1,Restore 5 Health ,,,,['Priest'],Spell,Common,3.4,,Holy
flash-of-light,2,Restore 4 Health  Draw a card ,,,,['Paladin'],Spell,Common,3.9,,Holy
fleethoof-pearltusk,5,RushCorrupt :  Gain +4/+4 ,4.0,4.0,,['Neutral'],Minion,Common,3.1,['Beast'],
flesh-behemoth,9,TauntDeathrattle :  Draw another Undead and summon a copy of it ,4.0,8.0,,['Neutral'],Minion,Rare,3.0,['Undead'],
flesh-giant,10,Costs (1) less for each time your hero's Health changed during one of your turns ,8.0,8.0,,"['Warlock', 'Priest']",Minion,Epic,4.2,,
flesheating-ghoul,3,Whenever a minion dies  gain +1 Attack ,3.0,3.0,,['Neutral'],Minion,Common,2.9,,
fleshshaper,6,Taunt  Battlecry :  If you have 5 or more Armor  summon a copy of this ,3.0,8.0,,['Warrior'],Minion,Common,3.6,['Undead'],
flight-master,3,Battlecry :  Summon a 2/2 Gryphon for each player ,3.0,4.0,,['Neutral'],Minion,Common,1.7,,
flight-of-the-bronze,1,Discover a Dragon Manathirst (7) :  Summon a 5/5 Drake with Taunt ,,,,['Paladin'],Spell,Rare,4.8,,
flightmaster-dungar,3,Battlecry :  Choose a flightpath and go Dormant  Awaken with a bonus when you complete it!,3.0,3.0,,['Neutral'],Minion,Legendary,3.1,,
flik-skyshiv,6,Battlecry :  Destroy a minion and all copies of it (wherever they are) ,4.0,4.0,,['Rogue'],Minion,Legendary,4.6,,
flipper-friends,5,Choose One - Summon a 6/6 Orca with Taunt; or six 1/1 Otters with Rush ,,,,['Druid'],Spell,Common,3.8,,Nature
floating-watcher,5,Whenever your hero takes damage on your turn  gain +2/+2 ,4.0,4.0,,['Warlock'],Minion,Common,3.6,['Demon'],
flobbidinous-floop,4,While in your hand  this is a 3/4 copy of the last minion you played ,3.0,4.0,,['Druid'],Minion,Legendary,4.7,,
floecaster,6,Costs (2) less for each Frozen enemy ,5.0,5.0,,['Mage'],Minion,Common,3.0,,
floops-glorious-gloop,1,Whenever a minion dies this turn  gain 1 Mana Crystal this turn only ,,,,['Druid'],Spell,Legendary,4.3,,Nature
florist,2,At the end of your turn  reduce the cost of a Nature spell in your hand by (1) ,2.0,3.0,,['Neutral'],Minion,Common,2.9,,
flowrider,1,Battlecry :  If you're Overloaded  Discover a spell from your deck ,2.0,1.0,,['Shaman'],Minion,Common,3.6,['Naga'],
flurry-rank-1,0,Freeze a random enemy minion  (Upgrades when you have 5 Mana ),,,,['Mage'],Spell,Rare,3.3,,
flustered-librarian,1,Has +1 Attack for each Imp you control ,1.0,3.0,,['Warlock'],Minion,Common,3.6,,
flying-machine,3,Windfury,1.0,4.0,,['Neutral'],Minion,Common,2.2,['Mech'],
focused-will,1,Silence a minion  then give it +3 Health ,,,,['Priest'],Spell,Rare,2.5,,
foe-reaper-4000,8,Also damages the minions next to whomever he attacks ,6.0,9.0,,['Neutral'],Minion,Legendary,3.2,['Mech'],
fogsail-freebooter,2,Battlecry :  If you have a weapon equipped  deal 2 damage ,2.0,2.0,,['Neutral'],Minion,Rare,3.6,['Pirate'],
font-of-power,1,Discover a Mage minion  If your deck has no minions  keep all 3 ,,,,['Mage'],Spell,Rare,3.8,,Arcane
fools-bane,5,Unlimited attacks each turn  Can't attack heroes ,3.0,,4.0,['Warrior'],Weapon,Common,3.7,,
for-quelthalas,2,Give a friendly minion +3 Attack  Give your hero +2 Attack this turn ,,,,['Paladin'],Spell,Rare,3.8,,Holy
forbidden-ancient,1,Battlecry :  Spend all your Mana  Gain +1/+1 for each mana spent ,1.0,1.0,,['Druid'],Minion,Epic,3.6,,
forbidden-flame,0,Spend all your Mana  Deal that much damage to a minion ,,,,['Mage'],Spell,Epic,2.4,,Fire
forbidden-healing,0,Spend all your Mana  Restore twice that much Health ,,,,['Paladin'],Spell,Epic,3.5,,Holy
forbidden-ritual,0,Spend all your Mana  Summon that many 1/1 Tentacles ,,,,['Warlock'],Spell,Rare,3.3,,Shadow
forbidden-shaping,0,Spend all your Mana  Summon a random minion that costs that much ,,,,['Priest'],Spell,Epic,3.9,,Shadow
forbidden-words,0,Spend all your mana Destroy a minion with that much Attack or less ,,,,['Priest'],Spell,Rare,3.9,,Shadow
force-of-nature,5,Summon three 2/2 Treants ,,,,['Druid'],Spell,Epic,3.2,,Nature
force-tank-max,8,Divine Shield,7.0,7.0,,['Neutral'],Minion,Common,3.4,['Mech'],
forensic-duster,3,Battlecry :  Your opponent's minions cost (1) more next turn ,3.0,4.0,,['Neutral'],Minion,Common,4.3,,
forest-guide,4,At the end of your turn  both players draw a card ,1.0,6.0,,['Druid'],Minion,Rare,1.8,,
forest-warden-omu,6,Spellburst :  Refresh your Mana Crystals ,5.0,4.0,,['Druid'],Minion,Legendary,4.7,,
forge-of-souls,2,Draw 2 weapons from your deck ,,,,['Warrior'],Spell,Common,4.1,,
forged-in-flame,2,Destroy your weapon  then draw cards equal to its attack ,,,,['Warrior'],Spell,Common,3.6,,Fire
forgotten-torch,3,Deal 3 damage  Shuffle a 'Roaring Torch' into your deck that deals 6 damage ,,,,['Mage'],Spell,Common,4.6,,Fire
forked-lightning,1,Deal 2 damage to 2 random enemy minions  Overload :  (2),,,,['Shaman'],Spell,Common,3.0,,Nature
forlorn-stalker,3,Battlecry :  Give all minions with Deathrattle in your hand +1/+1 ,4.0,2.0,,['Hunter'],Minion,Rare,3.6,,
former-champ,5,Battlecry :  Summon a 5/5 Hotshot ,1.0,1.0,,['Neutral'],Minion,Common,2.1,,
forsaken-lieutenant,2,Stealth  After you play a Deathrattle minion  become a 2/2 copy of it with Rush ,2.0,2.0,,['Rogue'],Minion,Epic,4.0,,
fortune-teller,5,TauntBattlecry :  Gain +1/+1 for each spell in your hand ,3.0,3.0,,['Priest'],Minion,Common,2.2,['Mech'],
fossil-fanatic,2,After your hero attacks  draw a Fel spell ,2.0,2.0,,"['Hunter', 'Demon Hunter']",Minion,Common,4.1,,
fossilized-devilsaur,8,Battlecry :  If you control a beast  gain Taunt ,8.0,8.0,,['Neutral'],Minion,Common,2.3,,
foul-egg,1,Deathrattle :  Summon a 3/3 Undead Chicken ,0.0,2.0,,['Neutral'],Minion,Common,2.9,['Undead'],
foxy-fraud,2,Battlecry :  Your next Combo card this turn costs (2) less ,3.0,2.0,,['Rogue'],Minion,Common,4.8,,
framester,3,Battlecry :  Shuffle 3 'Framed' cards into the opponent's deck  When drawn  they Overload for (2) ,3.0,3.0,,['Shaman'],Minion,Rare,3.7,,
frantic-hippogryph,5,Rush  Honorable Kill :  Gain Windfury ,3.0,7.0,,['Neutral'],Minion,Common,2.3,['Beast'],
frazzled-freshman,1,You must be logged in to post a comment ,1.0,4.0,,['Priest'],Minion,Common,4.0,,
free-admission,3,Draw 2 minions  If they're both Demons  reduce their Costs by (2) ,,,,['Warlock'],Spell,Rare,4.2,,
free-from-amber,8,Discover a minion that costs (8) or more  Summon it ,,,,['Priest'],Spell,Rare,4.3,,
free-spirit,1,Battlecry and Deatharttle :  Your Hero Power gains 1 more Armor this game ,1.0,2.0,,['Druid'],Minion,Epic,4.7,"['Undead', 'Beast']",
freebird,4,ChargeBattlecry :  Gain +1/+1 for each other Freebird you've played this game ,2.0,2.0,,['Neutral'],Minion,Epic,2.9,['Beast'],
freezing-potion,0,Freeze an enemy ,,,,['Mage'],Spell,Common,2.2,,
freezing-trap,2,Secret :  When an enemy minion attacks  return it to its owner's hand and it costs (2) more ,,,,['Hunter'],Spell,Common,4.6,,
frenzied-fangs,2,Summon two 2/1 Bats Infuse (3) :  Give them +1/+2 ,,,,['Hunter'],Spell,Common,3.5,,
frenzied-felwing,4,Costs (1) less for each damage dealt for your opponent this turn ,3.0,3.0,,['Neutral'],Minion,Rare,4.6,['Demon'],
frequency-oscillator,1,Battlecry :  The next Mech you play costs (1) less ,2.0,1.0,,['Neutral'],Minion,Common,3.8,['Mech'],
fresh-scent,2,TwinspellGive a Beast +2/+2 ,,,,['Hunter'],Spell,Common,4.1,,
friendly-bartender,2,At the end of your turn  restore 1 Health to your hero ,2.0,3.0,,['Neutral'],Minion,Common,2.7,,
frightened-flunky,2,TauntBattlecry :  Discover a Taunt minion ,2.0,3.0,,['Warrior'],Minion,Common,4.6,,
frigid-snobold,4,Spell Damage +1,2.0,6.0,,['Neutral'],Minion,Common,2.5,,
frizz-kindleroost,4,Battlecry :  Reduce the Cost of Dragons in your deck by (2) ,5.0,4.0,,['Neutral'],Minion,Legendary,4.7,,
from-de-other-side,10,Summon a copy of each minion in your hand  They attack random enemy minions  then die ,,,,['Shaman'],Spell,Rare,2.8,,
from-the-depths,4,Reduce the Cost of the bottom five cards in your deck by (3)  then Dredge ,,,,['Warrior'],Spell,Rare,4.0,,
front-lines,9,Summon a minion from each player's deck  Repeat until either side of the battlefield is full ,,,,['Paladin'],Spell,Epic,3.3,,
frost-elemental,6,Battlecry :  Freeze a character ,5.0,5.0,,['Neutral'],Minion,Common,3.0,['Elemental'],
frost-giant,10,Costs (1) less for each time you used your Hero Power this game ,8.0,8.0,,['Neutral'],Minion,Epic,3.1,,
frost-lich-jaina,9,Battlecry :  Summon a 3/6 Water Elemental Your Elementals have Lifesteal this game ,,,,['Mage'],Hero,Legendary,4.1,,
frost-nova,3,Freeze all enemy minions ,,,,['Mage'],Spell,,4.1,,
frost-queen-sindragosa,7,Colossal +2After an enemy minion is Frozen  destroy it ,6.0,6.0,,['Death Knight'],Minion,Legendary,4.0,"['Undead', 'Dragon']",
