,name,cardSet,type,text,playerClass,rarity,health,mechanics,cost,attack,race,spellSchool,durability,Category,armor,multiClassGroup
3663,Tunnel Trogg,The League of Explorers,Minion,"Whenever you <b>Overload</b>, gain +1 Attack per locked Mana Crystal.",Shaman,Common,3.0,[{'name': 'Overload'}],1.0,1.0,,,,The League of Explorers,,
3666,Curse of Rafaam,The League of Explorers,Spell,"Give your opponent a 'Cursed!' card.\nWhile they hold it, they take 2 damage on their turn.",Warlock,Common,,,2.0,,,Shadow,,The League of Explorers,,
3668,Dark Peddler,The League of Explorers,Minion,<b>Battlecry: Discover</b> a\n1-Cost card.,Warlock,Common,2.0,"[{'name': 'Discover'}, {'name': 'Battlecry'}]",2.0,2.0,,,,The League of Explorers,,
3669,Dart Trap,The League of Explorers,Spell,"<b>Secret:</b> After an opposing Hero Power is used, deal $5 damage to a random enemy.",Hunter,Common,,[{'name': 'Secret'}],2.0,,,,,The League of Explorers,,
3672,Explorer's Hat,The League of Explorers,Spell,"Give a minion +1/+1 and ""<b>Deathrattle:</b> Add an Explorer's Hat to your hand.""",Hunter,Rare,,[{'name': 'Deathrattle'}],2.0,,,,,The League of Explorers,,
3674,Huge Toad,The League of Explorers,Minion,<b>Deathrattle:</b> Deal 1 damage to a random enemy.,Neutral,Common,2.0,[{'name': 'Deathrattle'}],2.0,3.0,Beast,,,The League of Explorers,,
3676,Jeweled Scarab,The League of Explorers,Minion,<b>Battlecry: Discover</b> a\n3-Cost card.,Neutral,Common,1.0,"[{'name': 'Discover'}, {'name': 'Battlecry'}]",2.0,1.0,Beast,,,The League of Explorers,,
3678,Museum Curator,The League of Explorers,Minion,<b>Battlecry: Discover</b> a <b>Deathrattle</b> card.,Priest,Common,2.0,"[{'name': 'Discover'}, {'name': 'Deathrattle'}, {'name': 'Battlecry'}]",2.0,1.0,,,,The League of Explorers,,
3689,Brann Bronzebeard,The League of Explorers,Minion,Your <b>Battlecries</b> trigger twice.,Neutral,Legendary,4.0,"[{'name': 'Battlecry'}, {'name': 'Aura'}]",3.0,2.0,,,,The League of Explorers,,
3690,Desert Camel,The League of Explorers,Minion,<b>Battlecry:</b> Put a 1-Cost minion from each deck into the battlefield.,Hunter,Common,4.0,[{'name': 'Battlecry'}],3.0,2.0,Beast,,,The League of Explorers,,
3691,Fierce Monkey,The League of Explorers,Minion,<b>Taunt</b>,Warrior,Common,4.0,[{'name': 'Taunt'}],3.0,3.0,Beast,,,The League of Explorers,,
3692,Forgotten Torch,The League of Explorers,Spell,Deal $3 damage. Shuffle a 'Roaring Torch' into your deck that deals 6 damage.,Mage,Common,,,3.0,,,Fire,,The League of Explorers,,
3697,Mounted Raptor,The League of Explorers,Minion,<b>Deathrattle:</b> Summon a random 1-Cost minion.,Druid,Common,2.0,[{'name': 'Deathrattle'}],3.0,3.0,Beast,,,The League of Explorers,,
3703,Unearthed Raptor,The League of Explorers,Minion,<b>Battlecry:</b> Choose a friendly minion. Gain a copy of its_<b>Deathrattle</b>.,Rogue,Rare,4.0,"[{'name': 'Deathrattle'}, {'name': 'Battlecry'}]",3.0,3.0,,,,The League of Explorers,,
3705,Ancient Shade,The League of Explorers,Minion,<b>Battlecry:</b> Shuffle an 'Ancient Curse' into your deck that deals 7 damage to you when drawn.,Neutral,Rare,4.0,[{'name': 'Battlecry'}],4.0,7.0,,,,The League of Explorers,,
3706,Animated Armor,The League of Explorers,Minion,Your hero can only take 1 damage at a time.,Mage,Rare,4.0,,4.0,4.0,,,,The League of Explorers,,
3708,Eerie Statue,The League of Explorers,Minion,Can’t attack unless it’s the only minion on the battlefield.,Neutral,Rare,7.0,,4.0,7.0,,,,The League of Explorers,,
3709,Elise Starseeker,The League of Explorers,Minion,<b>Battlecry:</b> Shuffle the 'Map to the Golden Monkey'   into your deck.,Neutral,Legendary,5.0,[{'name': 'Battlecry'}],4.0,3.0,,,,The League of Explorers,,
3711,Gorillabot A-3,The League of Explorers,Minion,"<b>Battlecry:</b> If you control another Mech, <b>Discover</b> a Mech.",Neutral,Common,4.0,"[{'name': 'Discover'}, {'name': 'Battlecry'}]",4.0,3.0,Mech,,,The League of Explorers,,
3713,Jungle Moonkin,The League of Explorers,Minion,Both players have\n<b>Spell Damage +2</b>.,Druid,Rare,4.0,[{'name': 'Spell Damage'}],4.0,4.0,,,,The League of Explorers,,
3714,Keeper of Uldaman,The League of Explorers,Minion,<b>Battlecry:</b> Set a minion's Attack and Health to 3.,Paladin,Common,4.0,[{'name': 'Battlecry'}],4.0,3.0,,,,The League of Explorers,,
3718,Rumbling Elemental,The League of Explorers,Minion,"After you play a <b>Battlecry</b> minion, deal 2 damage to a random enemy.",Shaman,Common,6.0,[{'name': 'Battlecry'}],4.0,2.0,Elemental,,,The League of Explorers,,
3719,Tomb Pillager,The League of Explorers,Minion,<b>Deathrattle:</b> Add a Coin to your hand.,Rogue,Common,4.0,[{'name': 'Deathrattle'}],4.0,5.0,,,,The League of Explorers,,
3720,Tomb Spider,The League of Explorers,Minion,<b>Battlecry: Discover</b> a Beast.,Neutral,Common,3.0,"[{'name': 'Discover'}, {'name': 'Battlecry'}]",4.0,3.0,Beast,,,The League of Explorers,,
3721,Anubisath Sentinel,The League of Explorers,Minion,<b>Deathrattle:</b> Give a random friendly minion +3/+3.,Neutral,Common,4.0,[{'name': 'Deathrattle'}],5.0,4.0,,,,The League of Explorers,,
3724,Djinni of Zephyrs,The League of Explorers,Minion,"After you cast a spell on another friendly minion, cast a copy of it on this one.",Neutral,Epic,6.0,,5.0,4.0,Elemental,,,The League of Explorers,,
3726,Ethereal Conjurer,The League of Explorers,Minion,<b>Battlecry: Discover</b> a spell.,Mage,Common,4.0,"[{'name': 'Discover'}, {'name': 'Battlecry'}]",5.0,6.0,,,,The League of Explorers,,
3727,Excavated Evil,The League of Explorers,Spell,Deal $3 damage to all minions.\nShuffle this card into your opponent's deck.,Priest,Rare,,,5.0,,,Shadow,,The League of Explorers,,
3736,Summoning Stone,The League of Explorers,Minion,"Whenever you cast a spell, summon a random minion of the same Cost.",Neutral,Rare,6.0,,5.0,0.0,,,,The League of Explorers,,
3740,Entomb,The League of Explorers,Spell,Choose an enemy minion.\nShuffle it into your deck.,Priest,Common,,,6.0,,,,,The League of Explorers,,
3742,Reno Jackson,The League of Explorers,Minion,"<b>Battlecry:</b> If your deck has no duplicates, fully heal your hero.",Neutral,Legendary,6.0,[{'name': 'Battlecry'}],6.0,4.0,,,,The League of Explorers,,
3743,Wobbling Runts,The League of Explorers,Minion,<b>Deathrattle:</b> Summon three 2/2 Runts.,Neutral,Rare,6.0,[{'name': 'Deathrattle'}],6.0,2.0,,,,The League of Explorers,,
3744,Everyfin is Awesome,The League of Explorers,Spell,Give your minions +2/+2.\nCosts (1) less for each Murloc you control.,Shaman,Rare,,,7.0,,,,,The League of Explorers,,
3747,Obsidian Destroyer,The League of Explorers,Minion,"At the end of your turn, summon a 1/1 Scarab with <b>Taunt</b>.",Warrior,Common,7.0,[{'name': 'Taunt'}],7.0,7.0,,,,The League of Explorers,,
3750,Fossilized Devilsaur,The League of Explorers,Minion,"<b>Battlecry:</b> If you control a Beast, gain <b>Taunt</b>.",Neutral,Common,8.0,"[{'name': 'Taunt'}, {'name': 'Battlecry'}]",8.0,8.0,,,,The League of Explorers,,
3751,Naga Sea Witch,The League of Explorers,Minion,Your cards cost (5).,Neutral,Epic,5.0,[{'name': 'Aura'}],8.0,5.0,,,,The League of Explorers,,
3754,Arch-Thief Rafaam,The League of Explorers,Minion,<b>Battlecry: Discover</b> a powerful Artifact.,Neutral,Legendary,8.0,"[{'name': 'Discover'}, {'name': 'Battlecry'}]",9.0,7.0,,,,The League of Explorers,,
3756,Anyfin Can Happen,The League of Explorers,Spell,Summon 7 Murlocs that died this game.,Paladin,Rare,,,10.0,,,,,The League of Explorers,,
3822,Forbidden Flame,Whispers of the Old Gods,Spell,Spend all your Mana. Deal that much damage to a minion.,Mage,Epic,,[{'name': 'AffectedBySpellPower'}],0.0,,,Fire,,Whispers of the Old Gods,,
3823,Forbidden Healing,Whispers of the Old Gods,Spell,Spend all your Mana. Restore twice that much Health.,Paladin,Epic,,,0.0,,,Holy,,Whispers of the Old Gods,,
3824,Forbidden Ritual,Whispers of the Old Gods,Spell,Spend all your Mana. Summon that many 1/1 Tentacles.,Warlock,Rare,,,0.0,,,Shadow,,Whispers of the Old Gods,,
3825,Forbidden Shaping,Whispers of the Old Gods,Spell,Spend all your Mana. Summon a random minion that costs that much.,Priest,Epic,,,0.0,,,Shadow,,Whispers of the Old Gods,,
3827,Bladed Cultist,Whispers of the Old Gods,Minion,<b>Combo:</b> Gain +1/+1.,Rogue,Common,2.0,[{'name': 'Combo'}],1.0,1.0,,,,Whispers of the Old Gods,,
3828,Blood To Ichor,Whispers of the Old Gods,Spell,"Deal $1 damage to a minion. If it survives, summon a 2/2 Slime.",Warrior,Rare,,,1.0,,,,,Whispers of the Old Gods,,
3831,Divine Strength,Whispers of the Old Gods,Spell,Give a minion +1/+2.,Paladin,Common,,,1.0,,,Holy,,Whispers of the Old Gods,,
3833,Evolve,Whispers of the Old Gods,Spell,Transform your minions into random minions that cost (1) more.,Shaman,Rare,,,1.0,,,Nature,,Whispers of the Old Gods,,
3835,Fiery Bat,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Deal 1 damage to a random enemy.,Hunter,Common,1.0,[{'name': 'Deathrattle'}],1.0,2.0,Beast,,,Whispers of the Old Gods,,
3837,Forbidden Ancient,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Spend all your Mana. Gain +1/+1 for each Mana spent.,Druid,Epic,1.0,[{'name': 'Battlecry'}],1.0,1.0,,,,Whispers of the Old Gods,,
3839,Journey Below,Whispers of the Old Gods,Spell,<b>Discover</b> a <b>Deathrattle</b> card.,Rogue,Rare,,"[{'name': 'Discover'}, {'name': 'Deathrattle'}]",1.0,,,,,Whispers of the Old Gods,,
3842,N'Zoth's First Mate,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Equip a 1/3 Rusty Hook.,Warrior,Common,1.0,[{'name': 'Battlecry'}],1.0,1.0,Pirate,,,Whispers of the Old Gods,,
3843,On the Hunt,Whispers of the Old Gods,Spell,Deal $1 damage.\nSummon a 1/1 Mastiff.,Hunter,Common,,,1.0,,,,,Whispers of the Old Gods,,
3845,Possessed Villager,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Summon a 1/1 Shadowbeast.,Warlock,Common,1.0,[{'name': 'Deathrattle'}],1.0,1.0,,,,Whispers of the Old Gods,,
3846,Primal Fusion,Whispers of the Old Gods,Spell,Give a minion +1/+1 for each of your Totems.,Shaman,Common,,,1.0,,,Nature,,Whispers of the Old Gods,,
3848,Selfless Hero,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Give a random friendly minion <b>Divine Shield</b>.,Paladin,Rare,1.0,"[{'name': 'Divine Shield'}, {'name': 'Deathrattle'}]",1.0,2.0,,,,Whispers of the Old Gods,,
3850,Shifter Zerus,Whispers of the Old Gods,Minion,"Each turn this is in your hand, transform it into a random minion.",Neutral,Legendary,1.0,,1.0,1.0,,,,Whispers of the Old Gods,,
3853,Tentacle of N'Zoth,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Deal 1 damage to all minions.,Neutral,Common,1.0,[{'name': 'Deathrattle'}],1.0,1.0,,,,Whispers of the Old Gods,,
3854,Vilefin Inquisitor,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Your Hero Power becomes 'Summon a   1/1 Murloc.',Paladin,Epic,3.0,[{'name': 'Battlecry'}],1.0,1.0,Murloc,,,Whispers of the Old Gods,,
3855,Zealous Initiate,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Give a random friendly minion +1/+1.,Neutral,Common,1.0,[{'name': 'Deathrattle'}],1.0,1.0,,,,Whispers of the Old Gods,,
3856,A Light in the Darkness,Whispers of the Old Gods,Spell,<b>Discover</b> a minion.\nGive it +1/+1.,Paladin,Common,,[{'name': 'Discover'}],2.0,,,Holy,,Whispers of the Old Gods,,
3857,Beckoner of Evil,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Give your C'Thun +2/+2 <i>(wherever it is).</i>,Neutral,Common,3.0,[{'name': 'Battlecry'}],2.0,2.0,,,,Whispers of the Old Gods,,
3858,Bilefin Tidehunter,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Summon a 1/1 Ooze with <b>Taunt</b>.,Neutral,Common,1.0,"[{'name': 'Taunt'}, {'name': 'Battlecry'}]",2.0,2.0,Murloc,,,Whispers of the Old Gods,,
3859,Cult Sorcerer,Whispers of the Old Gods,Minion,"[x]<b><b>Spell Damage</b> +1</b>\nAfter you cast a spell,\ngive your C'Thun +1/+1\n<i>(wherever it is).</i>",Mage,Rare,2.0,[{'name': 'Spell Damage'}],2.0,3.0,,,,Whispers of the Old Gods,,
3860,Darkshire Librarian,Whispers of the Old Gods,Minion,<b>Battlecry:</b>\nDiscard a random card. <b>Deathrattle:</b>\nDraw a card.,Warlock,Rare,2.0,"[{'name': 'Battlecry'}, {'name': 'Deathrattle'}]",2.0,3.0,,,,Whispers of the Old Gods,,
3861,Duskboar,Whispers of the Old Gods,Minion,,Neutral,Common,1.0,,2.0,4.0,Beast,,,Whispers of the Old Gods,,
3862,Embrace the Shadow,Whispers of the Old Gods,Spell,"This turn, your healing effects deal damage instead.",Priest,Epic,,,2.0,,,Shadow,,Whispers of the Old Gods,,
3863,Eternal Sentinel,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Unlock your <b>Overloaded</b> Mana Crystals.,Shaman,Epic,2.0,"[{'name': 'Overload'}, {'name': 'Battlecry'}]",2.0,3.0,,,,Whispers of the Old Gods,,
3865,Mark of Y'Shaarj,Whispers of the Old Gods,Spell,"Give a minion +2/+2.\nIf it's a Beast, draw\na card.",Druid,Common,,,2.0,,,,,Whispers of the Old Gods,,
3866,"Nat, the Darkfisher",Whispers of the Old Gods,Minion,"At the start of your opponent's turn, they have a 50% chance to draw an extra card.",Neutral,Legendary,4.0,,2.0,2.0,,,,Whispers of the Old Gods,,
3867,Renounce Darkness,Whispers of the Old Gods,Spell,Replace your Hero Power and Warlock cards with another class's. The cards cost (1) less.,Warlock,Epic,,,2.0,,,Holy,,Whispers of the Old Gods,,
3868,Shatter,Whispers of the Old Gods,Spell,Destroy a <b>Frozen</b> minion.,Mage,Common,,[{'name': 'Freeze'}],2.0,,,Frost,,Whispers of the Old Gods,,
3872,Stormcrack,Whispers of the Old Gods,Spell,Deal $4 damage to a minion. <b>Overload:</b> (1),Shaman,Common,,[{'name': 'Overload'}],2.0,,,Nature,,Whispers of the Old Gods,,
3874,Twilight Geomancer,Whispers of the Old Gods,Minion,[x]<b>Taunt</b>\n<b>Battlecry:</b> Give your C'Thun\n<b>Taunt</b> <i>(wherever it is).</i>,Neutral,Common,4.0,"[{'name': 'Battlecry'}, {'name': 'Taunt'}]",2.0,1.0,,,,Whispers of the Old Gods,,
3875,Twisted Worgen,Whispers of the Old Gods,Minion,<b>Stealth</b>,Neutral,Common,1.0,[{'name': 'Stealth'}],2.0,3.0,,,,Whispers of the Old Gods,,
3876,Undercity Huckster,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Add a random card to your hand <i>(from your opponent's class)</i>.,Rogue,Rare,2.0,[{'name': 'Deathrattle'}],2.0,2.0,,,,Whispers of the Old Gods,,
3877,Addled Grizzly,Whispers of the Old Gods,Minion,"After you summon a minion, give it +1/+1.",Druid,Rare,2.0,,3.0,2.0,Beast,,,Whispers of the Old Gods,,
3878,Am'gam Rager,Whispers of the Old Gods,Minion,,Neutral,Common,5.0,,3.0,1.0,,,,Whispers of the Old Gods,,
3879,Blood Warriors,Whispers of the Old Gods,Spell,Add a copy of each damaged friendly minion to your hand.,Warrior,Epic,,,3.0,,,,,Whispers of the Old Gods,,
3880,Bloodsail Cultist,Whispers of the Old Gods,Minion,"<b>Battlecry:</b> If you control another Pirate, give your weapon +1/+1.",Warrior,Rare,4.0,[{'name': 'Battlecry'}],3.0,3.0,Pirate,,,Whispers of the Old Gods,,
3881,Carrion Grub,Whispers of the Old Gods,Minion,,Hunter,Common,5.0,,3.0,2.0,Beast,,,Whispers of the Old Gods,,
3882,Darkshire Councilman,Whispers of the Old Gods,Minion,"[x]After you summon a minion,\n gain +1 Attack.",Warlock,Common,5.0,,3.0,1.0,,,,Whispers of the Old Gods,,
3883,Disciple of C'Thun,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Deal 2 damage. Give your C'Thun +2/+2 <i>(wherever it is)</i>.,Neutral,Rare,1.0,[{'name': 'Battlecry'}],3.0,2.0,,,,Whispers of the Old Gods,,
3886,Feral Rage,Whispers of the Old Gods,Spell,<b>Choose One -</b> Give your hero +4 Attack this turn; or Gain 8 Armor.,Druid,Common,,,3.0,,,,,Whispers of the Old Gods,,
3887,Forlorn Stalker,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Give all <b>Deathrattle</b> minions in your hand +1/+1.,Hunter,Rare,2.0,"[{'name': 'Deathrattle'}, {'name': 'Battlecry'}]",3.0,4.0,,,,Whispers of the Old Gods,,
3888,Infest,Whispers of the Old Gods,Spell,"Give your minions ""<b>Deathrattle:</b> Add a random Beast to your hand.""",Hunter,Rare,,[{'name': 'Deathrattle'}],3.0,,,Nature,,Whispers of the Old Gods,,
3889,Rallying Blade,Whispers of the Old Gods,Weapon,<b>Battlecry:</b> Give +1/+1 to your minions with <b>Divine Shield</b>.,Paladin,Rare,,"[{'name': 'Divine Shield'}, {'name': 'Battlecry'}]",3.0,3.0,,,2.0,Whispers of the Old Gods,,
3890,Ravaging Ghoul,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Deal 1 damage to all other minions.,Warrior,Common,3.0,[{'name': 'Battlecry'}],3.0,3.0,,,,Whispers of the Old Gods,,
3891,Shadow Strike,Whispers of the Old Gods,Spell,Deal $5 damage to an undamaged character.,Rogue,Common,,,3.0,,,Shadow,,Whispers of the Old Gods,,
3892,Silithid Swarmer,Whispers of the Old Gods,Minion,Can only attack if your hero attacked this turn.,Neutral,Rare,5.0,,3.0,3.0,Beast,,,Whispers of the Old Gods,,
3893,Spawn of N'Zoth,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Give your minions +1/+1.,Neutral,Common,2.0,[{'name': 'Deathrattle'}],3.0,2.0,,,,Whispers of the Old Gods,,
3894,Spreading Madness,Whispers of the Old Gods,Spell,Deal $9 damage randomly split among ALL characters.,Warlock,Rare,,[{'name': 'ImmuneToSpellpower'}],3.0,,,Shadow,,Whispers of the Old Gods,,
3895,Squirming Tentacle,Whispers of the Old Gods,Minion,<b>Taunt</b>,Neutral,Common,4.0,[{'name': 'Taunt'}],3.0,2.0,,,,Whispers of the Old Gods,,
3896,Steward of Darkshire,Whispers of the Old Gods,Minion,"Whenever you summon a 1-Health minion, give it <b>Divine Shield</b>.",Paladin,Rare,3.0,[{'name': 'Divine Shield'}],3.0,3.0,,,,Whispers of the Old Gods,,
3897,Twilight Elder,Whispers of the Old Gods,Minion,"At the end of your turn, give your C'Thun +1/+1 <i>(wherever it is).</i>",Neutral,Common,4.0,,3.0,3.0,,,,Whispers of the Old Gods,,
3899,Twilight Flamecaller,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Deal 1 damage to all enemy minions.,Mage,Common,2.0,[{'name': 'Battlecry'}],3.0,2.0,,,,Whispers of the Old Gods,,
3900,Aberrant Berserker,Whispers of the Old Gods,Minion,Has +2 Attack while damaged.,Neutral,Common,5.0,,4.0,3.0,,,,Whispers of the Old Gods,,
3901,Blackwater Pirate,Whispers of the Old Gods,Minion,Your weapons cost (2) less.,Neutral,Rare,5.0,,4.0,2.0,Pirate,,,Whispers of the Old Gods,,
3902,Bloodhoof Brave,Whispers of the Old Gods,Minion,<b>Taunt</b>\nHas +3 Attack while damaged.,Warrior,Common,6.0,[{'name': 'Taunt'}],4.0,2.0,,,,Whispers of the Old Gods,,
3903,C'Thun's Chosen,Whispers of the Old Gods,Minion,[x]<b>Divine Shield</b>\n<b>Battlecry:</b> Give your C'Thun\n+2/+2 <i>(wherever it is).</i>,Neutral,Common,2.0,"[{'name': 'Divine Shield'}, {'name': 'Battlecry'}]",4.0,4.0,,,,Whispers of the Old Gods,,
3904,Cyclopian Horror,Whispers of the Old Gods,Minion,<b>Taunt</b>. <b>Battlecry:</b> Gain      +1 Health for each enemy minion.,Neutral,Epic,3.0,"[{'name': 'Taunt'}, {'name': 'Battlecry'}]",4.0,3.0,,,,Whispers of the Old Gods,,
3905,Demented Frostcaller,Whispers of the Old Gods,Minion,"After you cast a spell, <b>Freeze</b> a random enemy.",Mage,Rare,4.0,[{'name': 'Freeze'}],4.0,2.0,,,,Whispers of the Old Gods,,
3906,Eater of Secrets,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Destroy all enemy <b>Secrets</b>. Gain +1/+1 for each.,Neutral,Rare,4.0,"[{'name': 'Secret'}, {'name': 'Battlecry'}]",4.0,2.0,,,,Whispers of the Old Gods,,
3907,Evolved Kobold,Whispers of the Old Gods,Minion,<b>Spell Damage +2</b>,Neutral,Common,2.0,[{'name': 'Spell Damage'}],4.0,2.0,,,,Whispers of the Old Gods,,
3909,Faceless Shambler,Whispers of the Old Gods,Minion,<b>Taunt</b>\n<b>Battlecry:</b> Copy a friendly minion's Attack and Health.,Neutral,Epic,1.0,"[{'name': 'Battlecry'}, {'name': 'Taunt'}]",4.0,1.0,,,,Whispers of the Old Gods,,
3910,Fandral Staghelm,Whispers of the Old Gods,Minion,Your <b>Choose One</b> cards and powers have both effects combined.,Druid,Legendary,5.0,[{'name': 'Aura'}],4.0,3.0,,,,Whispers of the Old Gods,,
3911,Flamewreathed Faceless,Whispers of the Old Gods,Minion,<b>Overload:</b> (2),Shaman,Common,7.0,[{'name': 'Overload'}],4.0,7.0,,,,Whispers of the Old Gods,,
3912,Hooded Acolyte,Whispers of the Old Gods,Minion,"Whenever a character is healed, give your\nC'Thun +1/+1 <i>(wherever it is).</i>",Priest,Common,6.0,,4.0,3.0,,,,Whispers of the Old Gods,,
3913,Infested Tauren,Whispers of the Old Gods,Minion,<b>Taunt</b>\n<b>Deathrattle:</b> Summon a 2/2 Slime.,Neutral,Common,3.0,"[{'name': 'Deathrattle'}, {'name': 'Taunt'}]",4.0,2.0,,,,Whispers of the Old Gods,,
3914,Infested Wolf,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Summon two 1/1 Spiders.,Hunter,Rare,3.0,[{'name': 'Deathrattle'}],4.0,3.0,Beast,,,Whispers of the Old Gods,,
3915,Klaxxi Amber-Weaver,Whispers of the Old Gods,Minion,"<b>Battlecry:</b> If your C'Thun has at least 10 Attack, gain +5 Health.",Druid,Rare,5.0,[{'name': 'Battlecry'}],4.0,4.0,,,,Whispers of the Old Gods,,
3916,Master of Evolution,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Transform a friendly minion into a random one that costs (1) more.,Shaman,Rare,5.0,[{'name': 'Battlecry'}],4.0,4.0,,,,Whispers of the Old Gods,,
3917,Midnight Drake,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Gain +1 Attack for each other card\nin your hand.,Neutral,Rare,4.0,[{'name': 'Battlecry'}],4.0,1.0,Dragon,,,Whispers of the Old Gods,,
3918,Mire Keeper,Whispers of the Old Gods,Minion,[x]<b>Choose One -</b> Summon a\n2/2 Slime; or Gain an\nempty Mana Crystal.,Druid,Rare,3.0,,4.0,3.0,,,,Whispers of the Old Gods,,
3919,Polluted Hoarder,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Draw a card.,Neutral,Common,2.0,[{'name': 'Deathrattle'}],4.0,4.0,,,,Whispers of the Old Gods,,
3920,Shadow Word: Horror,Whispers of the Old Gods,Spell,Destroy all minions with 2 or less Attack.,Priest,Rare,,,4.0,,,Shadow,,Whispers of the Old Gods,,
3921,Shifting Shade,Whispers of the Old Gods,Minion,[x]<b>Deathrattle:</b> Copy a card\nfrom your opponent's deck\n_and add it to your hand.,Priest,Rare,3.0,[{'name': 'Deathrattle'}],4.0,4.0,,,,Whispers of the Old Gods,,
3922,Southsea Squidface,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Give your weapon +2 Attack.,Rogue,Common,4.0,[{'name': 'Deathrattle'}],4.0,4.0,Pirate,,,Whispers of the Old Gods,,
3923,Twilight Summoner,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Summon a 5/5 Faceless Destroyer.,Neutral,Epic,1.0,[{'name': 'Deathrattle'}],4.0,1.0,,,,Whispers of the Old Gods,,
3924,"Xaril, Poisoned Mind",Whispers of the Old Gods,Minion,<b>Battlecry and Deathrattle:</b> Add a random Toxin card to your hand.,Rogue,Legendary,2.0,"[{'name': 'Battlecry'}, {'name': 'Deathrattle'}]",4.0,3.0,,,,Whispers of the Old Gods,,
3927,Cabalist's Tome,Whispers of the Old Gods,Spell,Add 3 random Mage spells to your hand.,Mage,Epic,,,5.0,,,Arcane,,Whispers of the Old Gods,,
3928,Corrupted Healbot,Whispers of the Old Gods,Minion,<b>Deathrattle:</b> Restore #8 Health to the enemy hero.,Neutral,Rare,6.0,[{'name': 'Deathrattle'}],5.0,6.0,Mech,,,Whispers of the Old Gods,,
3929,Crazed Worshipper,Whispers of the Old Gods,Minion,"<b>Taunt.</b> Whenever this minion takes damage, give your C'Thun +1/+1 <i>(wherever it is).</i>",Neutral,Epic,6.0,[{'name': 'Taunt'}],5.0,3.0,,,,Whispers of the Old Gods,,
3930,Cult Apothecary,Whispers of the Old Gods,Minion,"<b>Battlecry:</b> For each enemy minion, restore #2 Health to your hero.",Neutral,Common,4.0,[{'name': 'Battlecry'}],5.0,4.0,,,,Whispers of the Old Gods,,
3931,Darkshire Alchemist,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Restore #5 Health.,Priest,Common,5.0,[{'name': 'Battlecry'}],5.0,4.0,,,,Whispers of the Old Gods,,
3932,Darkspeaker,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Swap stats with a friendly minion.,Neutral,Epic,6.0,[{'name': 'Battlecry'}],5.0,3.0,,,,Whispers of the Old Gods,,
3933,Hallazeal the Ascended,Whispers of the Old Gods,Minion,"Whenever your spells deal damage, restore that much Health to your hero.",Shaman,Legendary,6.0,,5.0,4.0,Elemental,,,Whispers of the Old Gods,,
3934,Hammer of Twilight,Whispers of the Old Gods,Weapon,<b>Deathrattle:</b> Summon a 4/2 Elemental.,Shaman,Epic,,[{'name': 'Deathrattle'}],5.0,4.0,,,2.0,Whispers of the Old Gods,,
3935,Power Word: Tentacles,Whispers of the Old Gods,Spell,Give a minion +2/+6.,Priest,Common,,,5.0,,,Shadow,,Whispers of the Old Gods,,
3936,Princess Huhuran,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Trigger a friendly minion's <b>Deathrattle</b>.,Hunter,Legendary,5.0,"[{'name': 'Deathrattle'}, {'name': 'Battlecry'}]",5.0,6.0,Beast,,,Whispers of the Old Gods,,
3937,Psych-o-Tron,Whispers of the Old Gods,Minion,<b>Taunt</b>\n<b>Divine Shield</b>,Neutral,Common,4.0,"[{'name': 'Taunt'}, {'name': 'Divine Shield'}]",5.0,3.0,Mech,,,Whispers of the Old Gods,,
3938,Servant of Yogg-Saron,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Cast a random spell that costs (5) or less <i>(targets chosen randomly)</i>.,Mage,Rare,4.0,[{'name': 'Battlecry'}],5.0,5.0,,,,Whispers of the Old Gods,,
3939,Shadowcaster,Whispers of the Old Gods,Minion,<b>Battlecry:</b> Choose a friendly minion. Add a 1/1 copy to_your hand that costs_(1).,Rogue,Epic,4.0,[{'name': 'Battlecry'}],5.0,4.0,,,,Whispers of the Old Gods,,
